@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
243,'2026/05/31 15:54:46:289',1,0.116217,0.553227,0.924935,0,0.5,1
244,'2026/05/31 15:54:46:322',1,0.116183,0.553849,0.922838,0,0.5,1
245,'2026/05/31 15:54:46:357',1,0.116135,0.554745,0.91207,0,0.5,1
246,'2026/05/31 15:54:46:389',1,0.116029,0.55514,0.917095,0,0.5,1
247,'2026/05/31 15:54:46:424',1,0.115981,0.555165,0.919385,0,0.5,1
248,'2026/05/31 15:54:46:455',1,0.115323,0.555431,0.915061,0,0.5,1
249,'2026/05/31 15:54:46:491',1,0.115009,0.555136,0.916418,0,0.5,1
250,'2026/05/31 15:54:46:522',1,0.114604,0.554894,0.91432,0,0.5,1
251,'2026/05/31 15:54:46:557',1,0.114664,0.554517,0.916759,0,0.5,1
252,'2026/05/31 15:54:46:589',1,0.114638,0.554439,0.911391,0,0.5,1
253,'2026/05/31 15:54:46:626',1,0.114289,0.554804,0.908154,0,0.5,1
254,'2026/05/31 15:54:46:657',1,0.114198,0.554437,0.910067,0,0.5,1
255,'2026/05/31 15:54:46:691',1,0.114105,0.554401,0.911494,0,0.5,1
256,'2026/05/31 15:54:46:723',1,0.113879,0.554763,0.909913,0,0.5,1
257,'2026/05/31 15:54:46:757',1,0.113706,0.554634,0.91317,0,0.5,1
258,'2026/05/31 15:54:46:790',1,0.113661,0.554769,0.913759,0,0.5,1
259,'2026/05/31 15:54:46:823',1,0.113489,0.554824,0.913686,0,0.5,1
260,'2026/05/31 15:54:46:854',1,0.113509,0.555093,0.912974,0,0.5,1
261,'2026/05/31 15:54:46:892',1,0.113549,0.554954,0.912264,0,0.5,1
262,'2026/05/31 15:54:46:922',1,0.113788,0.554859,0.914609,0,0.5,1
263,'2026/05/31 15:54:46:958',1,0.113946,0.554546,0.918182,0,0.5,1
264,'2026/05/31 15:54:46:987',1,0.113878,0.554865,0.91235,0,0.5,1
265,'2026/05/31 15:54:47:023',1,0.113912,0.554752,0.91243,0,0.5,1
266,'2026/05/31 15:54:47:056',1,0.113638,0.555601,0.914962,0,0.5,1
267,'2026/05/31 15:54:47:089',1,0.114212,0.555605,0.917368,0,0.5,1
268,'2026/05/31 15:54:47:124',1,0.114472,0.556443,0.914373,0,0.5,1
269,'2026/05/31 15:54:47:155',1,0.11499,0.555787,0.921682,0,0.5,1
270,'2026/05/31 15:54:47:192',1,0.114987,0.556134,0.916883,0,0.5,1
271,'2026/05/31 15:54:47:222',1,0.114637,0.556041,0.91562,0,0.5,1
272,'2026/05/31 15:54:47:257',1,0.114002,0.555287,0.918327,0,0.5,1
273,'2026/05/31 15:54:47:289',1,0.11361,0.555115,0.917619,0,0.5,1
274,'2026/05/31 15:54:47:324',1,0.113344,0.555136,0.919059,0,0.5,1
275,'2026/05/31 15:54:47:356',1,0.113063,0.555091,0.913281,0,0.5,1
276,'2026/05/31 15:54:47:391',1,0.113352,0.554849,0.910878,0,0.5,1
277,'2026/05/31 15:54:47:424',1,0.112075,0.554298,0.914631,0,0.5,1
278,'2026/05/31 15:54:47:456',1,0.11122,0.553506,0.917905,0,0.5,1
279,'2026/05/31 15:54:47:489',1,0.111194,0.552691,0.92086,0,0.5,1
280,'2026/05/31 15:54:47:523',1,0.111619,0.553334,0.907566,0,0.5,1
281,'2026/05/31 15:54:47:558',1,0.111419,0.553079,0.914332,0,0.5,1
282,'2026/05/31 15:54:47:589',1,0.111584,0.552132,0.918618,0,0.5,1
283,'2026/05/31 15:54:47:624',1,0.111574,0.553404,0.907625,0,0.5,1
284,'2026/05/31 15:54:47:657',1,0.111822,0.552981,0.916731,0,0.5,1
285,'2026/05/31 15:54:47:690',1,0.111818,0.552986,0.915569,0,0.5,1
286,'2026/05/31 15:54:47:725',1,0.111919,0.552959,0.917892,0,0.5,1
287,'2026/05/31 15:54:47:756',1,0.111934,0.553265,0.914944,0,0.5,1
288,'2026/05/31 15:54:47:792',1,0.112033,0.553207,0.919842,0,0.5,1
289,'2026/05/31 15:54:47:822',1,0.112275,0.5532,0.917762,0,0.5,1
290,'2026/05/31 15:54:47:858',1,0.112318,0.553597,0.909777,0,0.5,1
291,'2026/05/31 15:54:47:889',1,0.112579,0.553197,0.915631,0,0.5,1
292,'2026/05/31 15:54:47:924',1,0.112626,0.553375,0.914933,0,0.5,1
293,'2026/05/31 15:54:47:957',1,0.112756,0.553234,0.918377,0,0.5,1
294,'2026/05/31 15:54:47:989',1,0.112817,0.55366,0.917489,0,0.5,1
295,'2026/05/31 15:54:48:025',1,0.113062,0.553319,0.922615,0,0.5,1
296,'2026/05/31 15:54:48:055',1,0.112852,0.55413,0.912771,0,0.5,1
297,'2026/05/31 15:54:48:092',1,0.112919,0.554044,0.916653,0,0.5,1
298,'2026/05/31 15:54:48:122',1,0.112938,0.554163,0.915899,0,0.5,1
299,'2026/05/31 15:54:48:157',1,0.112966,0.553973,0.92046,0,0.5,1
300,'2026/05/31 15:54:48:190',1,0.112878,0.554411,0.913361,0,0.5,1
301,'2026/05/31 15:54:48:224',1,0.112714,0.553992,0.914005,0,0.5,1
